@relation ReasonerRankingData

@attribute DLFamily numeric
@attribute OPR numeric
@attribute AxMaxNesting numeric
@attribute AvgNbrRestrict numeric
@attribute HMaxNbr numeric
@attribute HP_MaxDepth numeric
@attribute SRBx numeric
@attribute DpDISJ numeric
@attribute SymmetricObjectProperty numeric
@attribute OAS numeric
@attribute ExactCardinality_C numeric
@attribute DpEQUIV numeric
@attribute HP_MultiParent numeric
@attribute STBx numeric
@attribute HP_MaxChildren numeric
@attribute SDP numeric
@attribute HC_MaxChildren numeric
@attribute OpCHAIN numeric
@attribute Complement_C numeric
@attribute InverseFuncOPRatio numeric
@attribute ClassAssertion numeric
@attribute FunctionalObjectProperty numeric
@attribute IrreflexiveOPRatio numeric
@attribute FunctionalDataProperty numeric
@attribute ObjectPropertyAssertion numeric
@attribute IrrefexiveObjectProperty numeric
@attribute GCI_C numeric
@attribute SOP numeric
@attribute ARichness numeric
@attribute OP_COHESION numeric
@attribute Union_R numeric
@attribute HExtNbr numeric
@attribute Indiv_SAME numeric
@attribute DataPropertyAssertion numeric
@attribute DisjointClasses numeric
@attribute Complement_R numeric
@attribute SubPropertyChainOf numeric
@attribute MostCardinality_C numeric
@attribute RRichness numeric
@attribute Indiv_DIFF numeric
@attribute AxiomMaxConst numeric
@attribute RRBx numeric
@attribute HP_MaxParents numeric
@attribute HC_MaxParents numeric
@attribute HP_MaxPropDegree numeric
@attribute HC_MaxClassDegree numeric
@attribute RTBx numeric
@attribute CLS_NOM numeric
@attribute SI numeric
@attribute NPCD_Ratio numeric
@attribute EquivalentClasses numeric
@attribute OneOf_C numeric
@attribute NPCD_C numeric
@attribute RABx numeric
@attribute ReflexiveOPRatio numeric
@attribute DataPropertyDomain numeric
@attribute SubObjectPropertyOf numeric
@attribute Existentiel_C numeric
@attribute SubDataPropertyOf numeric
@attribute OpEQUIV numeric
@attribute ClsDISJ_Ratio numeric
@attribute OLAS numeric
@attribute GCI_Ratio numeric
@attribute ExactCardinality_R numeric
@attribute TransitiveObjectProperty numeric
@attribute OneOf_R numeric
@attribute UI_Ratio numeric
@attribute AxAvgNesting numeric
@attribute SubClassOf numeric
@attribute HasSelf_C numeric
@attribute OntoConstructorDensity numeric
@attribute EquivalentDataProperties numeric
@attribute InverseOPRatio numeric
@attribute SABx numeric
@attribute Nom_Tbox numeric
@attribute HasValue_R numeric
@attribute SameIndividual numeric
@attribute OpDISJ numeric
@attribute LeastCardinality_R numeric
@attribute DifferentIndividuals numeric
@attribute PCD_Ratio numeric
@attribute InverseFunctionalObjectProperty numeric
@attribute EqDPRatio numeric
@attribute MostCardinality_R numeric
@attribute UI_Pattern numeric
@attribute InverseObjectProperties numeric
@attribute Existentiel_R numeric
@attribute Intersection_C numeric
@attribute Universal_R numeric
@attribute Universal_C numeric
@attribute HasValue_C numeric
@attribute HasSelf_R numeric
@attribute DisjointObjectProperties numeric
@attribute HMinNbr numeric
@attribute LeastCardinality_C numeric
@attribute HC_MultiParents numeric
@attribute EUR_Pattern numeric
@attribute TransitiveOPRatio numeric
@attribute EquivalentObjectProperties numeric
@attribute SymmetricOPRatio numeric
@attribute DataPropertyRange numeric
@attribute CUR_Pattern numeric
@attribute ReflexiveObjectProperty numeric
@attribute HC_AvgChildren numeric
@attribute DisjointUnion numeric
@attribute EqOPRatio numeric
@attribute Intersection_R numeric
@attribute AsymmetricObjectProperty numeric
@attribute FunctionalOPRatio numeric
@attribute DisjOPRatio numeric
@attribute EUR_Ratio numeric
@attribute HP_COHESION numeric
@attribute SC numeric
@attribute HasHiearOPRatio numeric
@attribute ChainOPRatio numeric
@attribute PCD_C numeric
@attribute ObjectPropertyDomain numeric
@attribute HP_AvgChildren numeric
@attribute Union_C numeric
@attribute CUR_Ratio numeric
@attribute ObjectPropertyRange numeric
@attribute HC_DegreeCentrality numeric
@attribute HP_DegreeCentrality numeric
@attribute SDT numeric
@attribute Konclude {0,1}
@attribute MOReHermiT {0,1}
@attribute HermiT-OA4 {0,1}
@attribute TrOWL {0,1}
@attribute Pellet-OA4 {0,1}
@attribute FaCT++ {0,1}
@attribute JFact {0,1}
@attribute ELK {0,1}
@attribute Racer {0,1}
@attribute ELepHant {0,1}
@data
2587.0,3.0,3,0,0,3,68,0,0,228037,0,0,0,360,6,2,33,0,0,0,8.231,0,0,0,81.339,0,0,33,0.006,0,0,0,0,10.227,0.003,0,0,0,0.081,0,1,0.032,1,1,7,34,0.171,0,17293,0,0,0,0,0.047,0,0,0.01,8,0,0,1.719,210360,0,0,0,0,0,0.086,0.168,0,0.022,0,12.5,209932,0,0,0,0,0,0,98.056,0,0,0,0,0.001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.149,0,0,0,0,0,0,0,0.089,349,62.5,0,353,0.01,2.857,0,0,0.011,0.093,0.193,1,1,1,1,1,1,1,1,1,1,0
2587.0,3.0,3,0,0,3,68,0,0,23378,0,0,0,360,6,2,33,0,0,0,10.465,0,0,0,73.085,0,0,33,0.006,0,0,0,0,14.394,0.034,0,0,0,0.081,0,1,0.327,1,1,7,34,1.729,0,2173,0,0,0,0,0.47,0,0,0.096,8,0,0,1.719,20821,0,0,0,0,0,0.142,1.695,0,0.022,0,12.5,20393,0,0,0,0,0,0,98.056,0,0,0,0,0.01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.149,0,0,0,0,0,0,0,0.089,349,62.5,0,353,0.106,2.857,0,0,0.115,0.093,0.193,1,1,1,1,1,1,1,1,1,1,0
2184.0,1.0,8,8.24,1,6,547,0,0,4539,131,0,0,1378,10,14,27,12,3,0,26.444,0.301,0,0.301,18.505,0,31,176,0.02,0,1.834,1,0,1.588,3.121,0.367,0.274,5,0.33,0.413,4,14.974,1,2,11,28,37.722,33.142,726,5.806,3.039,3,80,1.295,0,0.328,2.956,249,0,6,6.6,3653,2.25,16.015,0.082,0.367,0.363,1.338,31.563,231,0.149,0,52.834,1728,0.551,0,0,0,0.122,0.766,77.721,0,0,0.611,5,1.369,30.44,125,6.724,55,0,28.24,0,2,1,0.144,1,0,0.082,0,0.328,0,0,3.083,0,1.814,15.281,0,6.803,0,0.073,0.021,697,50.34,31.293,1071,4.489,2.25,15,0,4.462,0.038,0.056,7,1,0,0,1,0,0,0,0,0,0
2184.0,1.0,77,2.682,1,3,154,4,0.01,54292,40,0,0,79,3,11,4,0,54,0,13.385,0,0,0,60.615,0,0,19,0.44,0.012,6.406,2,0,21.333,0.029,19.217,0,3,0.509,0,109,0.322,1,1,4,5,0.165,40,6403,0,0,19,0,0.208,0,0.073,0.038,2,0.021,0,52,47836,0,14.235,0.002,6.762,10.127,0.15,0.136,0,0.039,0,0,47603,0.328,0,0,8,8.185,0,82.278,0,0,1.068,8,0,0.712,48,26.335,74,0,0,0.013,3,23,0,1,0,0,38.028,0.021,4,0,2.5,0,0,17.082,0,0,71.127,1.266,0.19,25,100,0,65,0.063,2,18,5.063,0.069,0.154,0.176,2,1,0,0,0,0,0,0,0,1,0
2460331.0,6.0,8,0,0,3,252,0,0.002,123930,1,0,0,123678,6,17,11555,12,0,0,0,0.002,0,0,0,0,11582,73,0.001,0,0.002,2,0,0,0.034,0,0.024,0,0.001,0,4,0.203,1,3,6,11556,99.797,0,0,0.001,9.35,0,1,0,0,0.014,0.057,109111,0,0,0.089,123930,9.365,0,0,0,0,3.064,90.413,0,0.244,0,60.566,0,0,0,0,0,0,0,74.614,0.002,0,0,0,0.027,90.411,11569,0,0,0,0,0,0,0,0.008,0,0,0,39.434,0.014,0,0,81.274,0,0,9.586,0,0,0,0,0.03,25809,99.999,12.428,92281,0.031,2.75,2,0,0.031,0.448,0.074,3,1,0,0,1,0,0,0,1,0,0
2460331.0,6.0,8,0,0,3,273,0,0.002,123952,1,0,0,123679,6,17,11555,12,0,0,0,0.002,0,0,0,0,11582,73,0.001,0,0.002,2,0,0,0.034,0,0.024,0,0.001,0,4,0.22,1,3,6,11556,99.78,0,0,0.001,9.348,0,1,0,0,0.014,0.074,109111,0,0,0.089,123952,9.365,0,0,0,0,3.064,90.398,0,0.244,0,60.566,0,0,0,0,0,0,0,74.614,0.002,0,0,0,0.027,90.411,11569,0,0,0,0,0,0,0,0.008,0,0,0,39.434,0.014,0,0,81.274,0,0,9.586,0,0,0,0,0.03,25809,99.999,12.428,92282,0.031,2.75,2,0,0.031,0.448,0.074,3,1,0,0,1,0,0,0,1,0,0
2460331.0,6.0,8,0,0,3,273,0,0.002,123952,1,0,0,123679,6,17,11555,12,0,0,0,0.002,0,0,0,0,11582,73,0.001,0,0.002,2,0,0,0.034,0,0.024,0,0.001,0,4,0.22,1,3,6,11556,99.78,0,0,0.001,9.348,0,1,0,0,0.014,0.074,109111,0,0,0.089,123952,9.365,0,0,0,0,3.064,90.398,0,0.244,0,60.566,0,0,0,0,0,0,0,74.614,0.002,0,0,0,0.027,90.411,11569,0,0,0,0,0,0,0,0.008,0,0,0,39.434,0.014,0,0,81.274,0,0,9.586,0,0,0,0,0.03,25809,99.999,12.428,92282,0.031,2.75,2,0,0.031,0.448,0.074,3,1,0,0,1,0,0,0,1,0,0
2460331.0,6.0,2,0,0,0,26,0,0,31,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,83.871,0,1,0,4,16.129,0,0,0,0,0,0,0,0,0,83.871,0,0,0,0,31,0,0,0,0,0,0.323,16.129,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0.8,0,0,1,1,1,1,1,1,1,1,1,1
2460331.0,6.0,2,0,0,0,26,0,0,42,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,61.905,0,1,0,4,38.095,0,0,0,0,0,0,0,0,0,61.905,0,0,0,0,42,0,0,0,0,0,0.762,38.095,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,16,0,0,0,0,0,0.142,0,0,1,1,1,1,1,1,1,1,1,1
2460331.0,6.0,93,0,0,3,12,0,0,7527,0,0,0,7515,2,0,143,3,1001,0,0,0,0,0,0,0,1073,21,0,0,6.556,0,0,0,0.518,12.817,0.027,0,0.005,0,93,0.159,1,8,3,144,99.841,0,0,1.703,15.943,0,128,0,0,0,0.066,3222,0,0,1.404,7527,14.278,0,0.04,0,2.661,3.346,83.38,0,0.012,0,77.529,0,0,0,0,0,0,0,61.025,0,0,0,200,0.027,41.255,1749,16.978,1326,0,0,0,0,0,0.143,146,68.69,0,0,0,0,0,2.912,0,0,22.394,0,0,0,1.943,0.057,4201,54.09,19.261,4586,0,1.667,512,0,0,0.034,0.139,0,0,0,0,0,0,0,0,1,0,0
