dataset;eval_type;mt_method;base_learner;target_index;target_name;'Average Relative RMSE';
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;0;all;0,4976±0,0200;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;1;Konclude;0,7176±0,0581;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;2;MOReHermiT;0,3419±0,0340;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;3;HermiT-OA4;0,5555±0,0526;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;4;TrOWL;0,5269±0,0546;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;5;Pellet-OA4;0,5521±0,0534;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;6;FaCT++;0,4840±0,0408;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;7;JFact;0,4420±0,0356;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;8;ELK;0,4422±0,0416;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;9;Racer;0,6459±0,0604;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MTR_ORE2017.arff;cv;MTSC;weka.classifiers.trees.RandomForest;10;ELepHant;0,2683±0,0267;
