dataset;eval_type;mt_method;base_learner;target_index;target_name;'Hamming Loss';'Macro-averaged F-Measure';
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;0;all;0,0501±0,0073;0,9665±0,0053;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;1;Konclude;;0,9796±0,0990;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;2;MOReHermiT;;0,9784±0,0992;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;3;HermiT-OA4;;0,9768±0,0985;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;4;TrOWL;;0,9747±0,0969;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;5;Pellet-OA4;;0,9611±0,0971;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;6;FaCT++;;0,9744±0,0979;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;7;JFact;;0,9347±0,0928;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;8;ELK;;0,9609±0,0984;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;9;Racer;;0,9383±0,0967;
.\MultiRakSOR_Data_ISWC2017\inputData\Train\MultiRakSOR_Training_MLC_ORE2017.arff;cv;BR;RandomForest;10;ELepHant;;0,9860±0,0990;
